Date,Line_No,Responsible_Department,Problem_Name,M/C_ID,Problem_Start_Time,Problem_End_Time,Total_Downtime (Min)
24-May-2022,Line 19, Needle Breakage, Needle Breakage,FCI-DNCS-0080,7:15,7:17,2
24-May-2022,Line 19, Needle Breakage, Needle Breakage,FCI-5TOL-0164,8:02,8:11,9
24-May-2022,Line 19,Production,Elastic Non-Availability,SNLS-2176,8:14,8:15,1
24-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,8:21,8:24,3
24-May-2022,Line 19,Maintenance,Skip Stitch,YNG-DNCS-0003,8:30,8:34,4
24-May-2022,Line 19,Maintenance,Skip Stitch,,8:45,8:50,5
24-May-2022,Line 19,Production,Label Shortage,,9:16,9:20,4
24-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,10:31,10:50,19
24-May-2022,Line 19,Maintenance,Knife Unsharp,FCI-5TOL-0164,10:36,10:56,20
24-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,BH-,8:54,8:58,4
24-May-2022,Line 19,Maintenance,Skip Stitch,5TOL-0196,12:29,12:40,11
24-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,12:40,12:42,2
24-May-2022,Line 19, Needle Breakage, Needle Breakage,5TOL-0318,1:04,1:12,8
24-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0164,1:13,1:14,1
25-May-2022,Line 19,Production,Label Shortage,SNLS-2170,9:30,9:34,4
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,29,10:10,10:13,3
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,7,10:46,10:49,3
25-May-2022,Line 19,Production,Multiple bio break,FCI-5TOL-0164,10:44,10:48,4
25-May-2022,Line 19,Maintenance,M/C Foot repair,80,10:53,10:55,2
25-May-2022,Line 19,Production,Multiple bio break,2096,11:02,11:05,3
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,286,12:40,12:43,3
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,85,1:20,1:25,5
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0164,1:24,1:26,2
25-May-2022,Line 19,Production,Multiple bio break,,1:36,1:40,4
25-May-2022,Line 19,Production,Multiple bio break,7,1:35,1:44,9
25-May-2022,Line 19, Needle Breakage, Needle Breakage,,10:08,10:15,7
25-May-2022,Line 19, Needle Breakage, Needle Breakage,,9:19,9:27,8
25-May-2022,Line 19, Needle Breakage, Needle Breakage,,12:23,12:28,5
25-May-2022,Line 19, Needle Breakage, Needle Breakage,,2:44,2:53,9
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,0258,1:38,1:43,5
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0164,1:42,1:44,2
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0164,1:50,1:53,3
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0164,2:47,2:55,8
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,0286,2:53,2:55,2
25-May-2022,Line 19,Production,Multiple bio break,0002,5:30,5:36,6
25-May-2022,Line 19,Production,Multiple bio break,2604,5:32,5:40,8
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0196,8:56,8:58,2
25-May-2022,Line 19,Production,Wrong Working Process,,9:10,9:25,15
25-May-2022,Line 19,Production,Wrong Working Process,,9:35,9:50,15
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0025,12:33,12:37,4
25-May-2022,Line 19,Maintenance,Light Repair,SNLS-0031,12:51,12:58,7
25-May-2022,Line 19,Maintenance,Uneven Tension,SNLS-2174,11:16,11:20,4
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0237,2:38,2:44,6
25-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0003,3:04,3:06,2
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0003,8:13,8:17,4
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0237,9:18,9:24,6
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0025,9:57,10:01,4
26-May-2022,Line 19, Needle Breakage, Needle Breakage,DNCS-0068,10:11,10:18,7
26-May-2022,Line 19, Needle Breakage, Needle Breakage,SNLS-2146,10:33,10:39,6
26-May-2022,Line 19,Maintenance,Skip Stitch,5TOL-0196,11:06,11:19,13
26-May-2022,Line 19, Needle Breakage, Needle Breakage,DNCS-0080,07:33,07:36,3
26-May-2022,Line 19, Needle Breakage, Needle Breakage,BL/S-0042,07:36,07:45,9
26-May-2022,Line 19, Needle Breakage, Needle Breakage,SNLS-2604,08:02,08:10,8
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0029,08:28,08:31,3
26-May-2022,Line 19,Maintenance,Uneven Tension,SNLS-2131,08:46,08:48,2
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0260,08:57,09:05,8
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,INCS-0085,09:40,09:47,7
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0258,10:10,10:15,5
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0260,10:46,10:50,4
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,BT-0079,10:51,10:54,3
26-May-2022,Line 19, Needle Breakage, Needle Breakage,DNCS-0068,12:22,12:31,9
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0318,12:27,12:29,2
26-May-2022,Line 19, Needle Breakage, Needle Breakage,DNCS-0003,12:28,12:36,8
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,SNLS-2174,1:33,1:34,1
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0262,1:48,1:51,3
26-May-2022,Line 19,Quality,Wrong SPI,5TOL-0196,2:26,2:32,6
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0305,12:22,12:27,5
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,INCS-0080,12:39,12:47,8
26-May-2022,Line 19,Maintenance,Knife Unsharp,5TOL-0286,01:30,01:37,7
26-May-2022,Line 19, Needle Breakage, Needle Breakage,SNLS-2604,01:40,01:47,7
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0286,01:57,02:03,6
26-May-2022,Line 19, Needle Breakage, Needle Breakage,DNCS-0080,02:03,02:09,6
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0305,03:42,03:46,4
26-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0029,03:51,03:58,7
26-May-2022,Line 19, Needle Breakage, Needle Breakage,DNCS-0085,04:00,04:09,9
26-May-2022,Line 19, Needle Breakage, Needle Breakage,5TOL-0196,5:24,5:36,12
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0158,10:56,10:59,3
28-May-2022,Line 17,Maintenance,Skip Stitch,FCI-4TNB-0001,12:02,12:10,8
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0158,12:17,12:20,3
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,MI-7605U-856,12:47,12:49,2
