DATE,LINE NO,"Needle Breakdown
 Time (Min)",Needle Breakdown Frequency,"Machine Breakdown
 Time (Min)",Machine Breakdown Frequency,No. of Absent Operators,"Bio-break
 Time (Min)",Bio-Break Frequency,Defect Rate End Line,End Line Top 3 Defects,Defect Rate  Getup,Getup Top 3 Defects
5/28/2022,19,68,6,104,23,1,598,123,6.75%,"Broken Stitch at waist belt, Uneven Stitch at Waist belt, Uncut Thread",4.29%,"Iron, Broken Stitch, Slanted in BF Rise"
5/29/2022,19,27,3,129,23,1,723,132,6.92%,"Broken Stitch at waist belt, Uneven Stitch at Waist belt, Uncut Thread",4.36%,"Iron, Broken Hem, Slanted Dart"
5/29/2022,17,5,1,146,26,0,294,60,21.36%,"Broken stitch at hem, Puckering at Waist belt top stitch, Uneven stitch at waist belt top stitch",16.49%,"Broken stitch at Hem, Slanted at Waist belt tuck, Iron"
5/30/2022,19,63,6,78,15,2,870,148,6.23%,"W/B Visible Top Stitch
Puckering at W/B
Incomplete Top Stitch",4.29%,"Iron
Broken Hem 
Slanted B/F Rise"
5/30/2022,17,22,3,91,31,0,364,79,20.81%,"Puckering at W/B Top stitch, Uncut thread at bottom hem, Uneven at W/B Top stitch",13.89%,"Broken stitch at Hem, Fullness at Waist belt, Puckering at Waist belt"
5/31/2022,19,20,3,62,15,3,442,82,5.41%,"Puckering at W/B
Uncut Thread
Visible Top Stitch",4.15%,"Iron
Broken Hem
Slanted Dart"
5/31/2022,17,8,1,124,30,0,348,61,22.03%,"Uncut thread at Waist band top stitch, Broken Stitch at  hem, Wrong position at Inseam crotch point",10.90%,"Needle mark at Waist Band, Broken stitch at Hem, Spot"
6/1/2022,19,40,5,51,11,2,775,137,5.40%,"Inseam Skip Stitch
Uneven W/B
Visible Top Stitch",4.22%,"Iron
Broken Hem
Slanted Dart"
6/1/2022,17,0,0,239,35,0,388,79,8.68%,"Broken Stitch at Hem, Pullness at W/B top stitch, Slanted at Label",8.94%,"Broken Stitch at Hem, Slanted at W/B tack, Iron"
6/2/2022,19,97,10,55,10,1,771,149,5.17%,"W/B Puckering, Visible Top stitch, Front dart high/low",4.49%,"Iron
Broken Hem
Slanted Dart"
6/2/2022,17,0,0,130,33,0,281,51,6.12%,"Broken Stitch at  hem, Uneven stitch at Waist band top stitch,  Incomplete at Bartack",9.89%,"Slanted at Waist band tack, Broken Stitch at Hem, Out of shape at Waist Band"
6/4/2022,19,12,1,33,5,0,613,115,5.00%,"Broken Stitch at waist belt, Uneven Stitch at Waist belt, Front Dart high/low",4.56%,"Iron
 Broken Hem
 Slanted Dart"
6/5/2022,19,38,4,125,13,0,875,158,4.62%,"W/B Visible Top Stitch, Front dart high/low, Uneven Stitch",3.97%,"Iron, Broken Hem, Slanted Dart"
6/5/2022,17,30,4,154,31,1,371,60,6.66%,"Broken stitch at hem, Uneven at waist belt top stitch, Uncut thread at w/b top stitch",6.48%,"Broken stitch at hem, Iron , Slated at W/b tuck"
6/6/2022,19,20,2,54,7,0,684,128,4.47%,"Puckering at W/B, Dart High/low, Visible Top Stitch",3.96%,"Iron,  Broken Hem, Slanted Dart"
6/6/2022,17,16,2,105,26,0,467,54,5.33%,"Broken Stitch at Hem, Puckering at W/B top stitch, Incomplete Bartack",9.30%,"Broken Stitch at Hem, Iron, Needle mark at W/B top stitch"
6/7/2022,19,32,3,41,6,1,723,118,4.42%,"Dart high/low, Visible top stitch at W/B, Puckering at W/B",3.98%,"Iron,  Broken Hem, Slanted Dart"
6/7/2022,17,19,2,86,22,1,284,50,6.50%,"Visible join at Hem, Broken stitch at Hem, Puckering at W/B top stitch",5.38%,"Broken stitch at Hem, Iron, Needle mark at Waist Band"
6/8/2022,19,49,4,25,6,0,606,108,4.51%,"Dart High/Low,Broken Stitch at W/B, Puckering at W/B",4.15%,"Iron,  Broken Hem, Slanted Dart"
6/8/2022,17,8,1,113,18,4,130,24,7.41%,"Uneven stitch at W/B top stitch, Puckering at W/B top stitch, Needle mark at Hem",7.60%,"Broken stitch at Hem, Puckering at Waist Band, Skip stitch at Waist Band"
6/9/2022,17,28,2,103,20,0,249,46,5.02%,"Skip stitch at W/B top stich, Visible join at Bartack, Broken stitch at Hem",6.61%,"Broken stitch at Hem, Iron, Slanted at Rise"
6/13/2022,19,53,6,30,3,2,665,128,4.02%,"Dart high/low, Visible top stitch at W/B, Uneven at W/B",,
6/13/2022,17,65,4,75,17,0,221,49,8.12%,"Broken stitch at hem, Visible join at Bartack, Uneven at W/B top stitch",6.05%,"Broken stitch at Hem, Iron, Slanted at W/B Tack"
6/13/2022,18,10,1,21,5,2,116,25,2.34%,"Puckering at Panel T/S, Skip stitch at Hem, High-Low at W/B",5.21%,"Iron, High-Low at Waist Point, Slanted at Rise"
6/14/2022,21,39,2,50,6,2,114,21,4.90%,"Visible Top Stitch, Dart High/Low, Broken Stitch",5.62%,"Slanted Dart/Back Front Rise, Hem Broken Stitch, Out of Shape at Waist Belt"
6/14/2022,19,19,4,59,6,1,720,147,4.05%,"Visible Top Stitch at Waist Belt, Uneven Stitch at Waist Belt, Skip stitch at Back Front Rise",4.27%,"Slanted Dart/Back Front Rise, Hem Broken Stitch, Visible Top Stitch at Waist Belt"
6/14/2022,17,24,2,128,20,0,258,51,9.34%,"Uncut thread at W/B top stitch,  Uneven at W/B top stitch,  Broken stitch at Hem",8.67%,"Broken stitch at hem, Needle mark at hem,  Slanted at W/B tuck"
6/14/2022,18,33,4,40,7,1,276,31,3.29%,"Puckering at Seam, High/Low at Waist belt, Skip stitch at Panel top stitch ",5.45%,"Iron, Slanted at Rise, High/Low at W/B point"
6/15/2022,17,13,1,271,29,1,262,57,8.61%,"Broken stitch at Hem, Uncut thread at W/B top stitch, Puckering at W/B top stitch",9.45%,"Broken stitch at Hem, Needle mark at hem, Uneven tension at Waist band"
6/15/2022,18,22,3,67,12,2,126,26,2.82%,"Puckering at W/B join, Slanted at Label, Broken at Panel top stitch",4.14%,"Iron, Slanted at Rise, High/Low at W/B point"
6/15/2022,19,11,1,43,7,0,430,83,4.42%,"Waist Belt Visible Top Stitch, Skip Stitch at Back to Front Rise, Front dart high/low",4.34%,"Waist Belt Visible Top Stitch, Slanted Dart, Broken Hem"
6/15/2022,21,47,4,156,17,1,386,88,4.96%,"High/Low at Dart & Label, Undone, Broken Stitch",,
6/16/2022,19,46,6,35,4,0,365,77,4.29%,"Waist Belt Visible Top Stitch, Skip Stitch at Back to Front Rise, Front dart high/low",3.83%,"Waist Belt Visible Top Stitch, Slanted Dart, Broken Hem"
6/16/2022,21,0,0,41,9,1,320,64,4.48%,"Broken, Incomplete , Uncut Thread",5.19%,"Slanted Dart/Back Front Rise, Hem Broken Stitch, Out of Shape at Waist Belt"
6/16/2022,17,7,1,31,10,0,364,77,12.64%,"Needle marks at Hem, Broken stitch at Hem, Puckering at W/B top stitch",8.08%,"Broken stitch at Hem, Puckering at W/B, Iron"
6/16/2022,18,0,0,33,10,1,68,15,3.01%,"Puckering at W/B join, High/Low at W/B join, Slanted at label join",4.53%,"Iron, Slanted at Rise, High/Low at W/B top stitch"
6/18/2022,17,0,0,51,22,0,443,53,15.96%,"Uncut thread at Hem, Broken stitch at Hem, Broken stitch at W/B top stitch",13.10%,"Uncut thread at Hem, Uncut thread at W/B, Broken stitch at Hem"
6/18/2022,18,31,2,54,6,1,277,61,3.92%,"Pullness at Hem, Puckering at W/B join, High/Low at W/B join",5.59%,"Iron, Slanted at Rise, High/Low at W/B point"
6/18/2022,19,44,5,20,3,2,370,78,3.65%,"Broken Stitch, Visible top stitch at W/B, Uneven at W/B",,
6/18/2022,21,36,5,147,33,0,327,75,4.88%,"Uncut thread, Skip Stitch, High/Low",5.31%,"Slanted Dart/Back Front Rise, Hem Broken Stitch, Out of Shape at Waist Belt"
6/19/2022,17,21,2,71,25,1,297,49,13.27%,"Uncut thread at W/B top stitch, Uncut thread at Hem, Broken stitch at Hem",13.77%,"Uncut thread at W/B , Broken stitch at Hem,  Uncut thread at Hem,"
6/19/2022,18,12,1,36,9,1,313,53,2.81%,"High/Low at W/B join, Puckering at W/B join, Slanted at label join",3.21%,"Iron, Broken stitch at Hem, Slanted at Panel top stitch"
